product_id,sku,name,url_key,brand,price,original_price,discount,discount_rate,rating,review_count,sold,thumbnail,seller_id,category_id
216123090,7386023058777,"Robot Bút Bụi, Lau Nhà Thông Minh Xiaomi Dreame D9 Pro - Lực Hút 4000 Pa - Bản Quốc Tế- Hàng Chính Hãng",robot-but-bui-lau-nha-thong-minh-xiaomi-dreame-d9-pro-luc-hut-4000-pa-ban-quoc-te-hang-chinh-hang-p216123090,Dreame,5999000,5999000,0,0,4.6,8,29,https://salt.tikicdn.com/cache/280x280/ts/product/48/ae/f6/9c6495eef04ca8a47b587e4bf4c145ff.png,67624,1882
205539772,3100138859769,Ấm sắc thuốc Trường An TA 37 Nâu - Siêu thuốc - Siêu điện - Ấm sắc thuốc bằng điện -  Dụng cụ nấu thuốc  -Hàng Việt Nam chính hãng,am-sa-c-thuoc-truong-an-ta-37-nau-sieu-thuoc-sieu-dien-am-sac-thuoc-bang-dien-dung-cu-nau-thuoc-hang-viet-nam-chat-luong-cao-p205539772,Trường An,450000,450000,0,0,0.0,0,6,https://salt.tikicdn.com/cache/280x280/ts/product/b7/7c/d0/b08494ca278dd769116cd599204a6d4f.jpg,11176,1882
203462430,4865534401728,Máy hút bụi công nghiệp Tiross TS9301 - Dung tích 32 lít - Sản xuất tại Malaysia - 3 Chức năng Hút khô - ướt - thổi bụi - Hàng chính hãng,may-hut-bui-cong-nghiep-tiross-ts9301-dung-tich-32-lit-san-xuat-tai-malaysia-3-chuc-nang-hut-kho-uot-thoi-bui-hang-chinh-hang-p203462430,Tiross,1888000,1888000,0,0,0.0,0,1,https://salt.tikicdn.com/cache/280x280/ts/product/57/e2/9e/334a37ceec42bb0f44f02f9289631dbb.jpg,283011,1882
197821221,3215182335194,"Máy hút bụi cầm tay mini, Máy hút bụi không dây đa năng lực hút siêu mạnh sử dụng hút bụi ô tô, giường nệm, bàn phím máy tính - Hàng chính hãng MINIIN ",may-hut-bui-cam-tay-mini-may-hut-bui-khong-day-da-nang-luc-hut-sieu-manh-su-dung-hut-bui-o-to-giuong-nem-ban-phim-may-tinh-chinh-hang-miniin-p197821221,MINIIN,599000,599000,0,0,0.0,0,1,https://salt.tikicdn.com/cache/280x280/ts/product/41/36/fb/fd51ebada33246eea8d08e69fb980525.png,134678,1882
189641775,8794283117501,Máy hút bụi lau nhà cầm tay không dây thông minh Ultty V08 - Lực hút 24000 pascal - Hàng chính hãng,may-hut-bui-lau-nha-cam-tay-khong-day-thong-minh-ultty-v08-luc-hut-24000-pascal-hang-chinh-hang-p189641775,U ULTTY,6100000,8500000,2400000,28,5.0,34,111,https://salt.tikicdn.com/cache/280x280/ts/product/58/27/89/80180854c2a9a56b43283205a4e58345.jpg,150998,1882
148679957,4442075467374,"Nồi cơm điện tử Tefal RK732168, Dung tích 1.8L, Công suất 750W -  Hàng chính hãng",noi-com-dien-tu-tefal-rk732168-dung-tich-1-8l-cong-suat-750w-hang-chinh-hang-p148679957,Tefal,1429000,1429000,0,0,0.0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/24/73/b6/6a1efc9a9babcb9a3398abc4ff6b29d7.png,109240,1882
120527123,3207994218800,Máy pha cafe Delonghi EC785.BG - Hàng chính hãng,may-pha-cafe-delonghi-ec785-bg-p120527123,DeLonghi,6999000,6999000,0,0,5.0,1,5,https://salt.tikicdn.com/cache/280x280/ts/product/01/2c/a1/a5547a11af3d1e8c36f7a6cb45413c5b.jpg,305312,1882
105602617,7632141347745,"Quạt đứng SENKO sải cảnh lớn , hẹn giờ bật tắt cao cấp hàng chính hãng- GIAO MÀU NGẪU NHIÊN  ",quat-dung-senko-sai-canh-lon-hen-gio-bat-tat-cao-cap-hang-chinh-hang-giao-mau-ngau-nhien-p105602617,SENKO,472000,472000,0,0,5.0,11,55,https://salt.tikicdn.com/cache/280x280/ts/product/8f/06/28/183347700c500982fd0f3185056b91f1.jpg,187775,1882
78488079,4090884454000,Quạt Điện Đứng Senko L1638 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,quat-dien-dung-senko-l1638-giao-mau-ngau-nhien-hang-chinh-hang-p78488079,SENKO,378000,378000,0,0,4.8,185,928,https://salt.tikicdn.com/cache/280x280/ts/product/49/a1/39/64de5def049095c6b7b479d5e9b03626.png,187775,1882
76145264,7817453133307,"Bộ 2 co cút nối nhanh ren 21 ra dây 10mm hoặc dây 6mm – linh kiện máy lọc nước, phun sương, lắp dàn tưới cây, bể thủy sinh, cá cảnh, bán cạn (Hàng chính hãng)",bo-2-co-cut-noi-nhanh-ren-21-ra-day-10mm-hoac-day-6mm-linh-kien-may-loc-nuoc-phun-suong-lap-dan-tuoi-cay-be-thuy-sinh-ca-canh-ban-can-hang-chinh-hang-p76145264,YAMATO,15000,15000,0,0,4.6,25,124,https://salt.tikicdn.com/cache/280x280/ts/product/b2/bd/d7/ec3d719b62410f7a55046b3ac5525761.jpg,8413,1882
74261830,1613064024777,Máy Xay Cà Phê Mini Zamboo ZB-100GR - Hàng Chính Hãng,may-xay-ca-phe-mini-zamboo-zb-100gr-hang-chinh-hang-p74261830,Zamboo,389000,389000,0,0,5.0,18,46,https://salt.tikicdn.com/cache/280x280/ts/product/03/a0/94/8a91479782e54a6c63ac23168268aaa6.jpg,16085,1882
58057110,9926313088743,Máy xay sinh tố Philips HR2222/00 (700W) - Hàng Chính Hãng,may-xay-sinh-to-philips-hr2222-00-700w-hang-chinh-hang-p58057110,Philips,1107000,1300000,193000,15,0.0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/09/ed/09a2e4fdc8d73628b51dc6d418fb5c7a.jpg,12063,1882
